0.2481	0.7931	0.3429	0.8760	41.2000	39.7882	0.5755	1.8554	0.7475	0.6644	2.0497	9.6147	0.0371	0.0306	0.2468	1.0759	
0.1082	0.7347	0.5853	0.9574	70.8400	74.4938	1.0251	4.2260	0.6265	0.7795	3.2794	15.3710	0.0280	0.0304	0.3860	1.1637	
0.0922	0.6757	0.6320	0.9539	238.0600	285.2920	0.0252	1.7441	0.5048	0.8633	6.0727	47.2349	0.0368	0.0306	0.1922	1.0510	
0.1023	0.6993	0.5678	0.9488	300.2000	344.5685	0.0143	2.0692	0.5229	0.8524	6.4154	54.4061	0.0364	0.0306	0.1610	1.0392	
0.1517	0.6429	0.4464	0.9241	224.8800	273.7571	0.6165	3.8435	0.5182	0.8553	5.8067	44.2016	0.0361	0.0307	0.1463	1.0355	
0.1518	0.7885	0.3933	0.9312	447.2200	913.2215	1.8296	7.1517	0.5949	0.8038	5.2267	44.3581	0.0371	0.0304	0.2214	1.0628	
0.1615	0.7738	0.4001	0.9276	452.0200	965.6172	1.0144	2.7987	0.6054	0.7959	4.8345	40.7581	0.0360	0.0305	0.1460	1.0349	
0.1785	0.8132	0.4342	0.9305	619.6200	1135.0221	1.0454	2.8672	0.6129	0.7902	3.8894	22.8635	0.0380	0.0306	0.1486	1.7906	
0.1704	0.8014	0.4139	0.9315	677.6200	1171.0036	1.1506	3.0044	0.6006	0.7995	4.2467	27.0709	0.0380	0.0306	0.1595	1.7518	
0.2066	0.7591	0.3888	0.9177	726.4400	1145.7489	1.6751	5.0330	0.6424	0.7663	3.8153	24.1244	0.0383	0.0306	0.1446	1.9400	
0.2065	0.7671	0.3788	0.9148	932.3800	1412.1672	0.8155	3.1062	0.6403	0.7682	3.6183	21.9701	0.0381	0.0307	0.1361	1.8852	
0.2089	0.7636	0.3808	0.9157	929.7600	1412.8217	0.8129	2.4548	0.6535	0.7569	3.6527	22.9553	0.0380	0.0303	0.2812	1.0936	
0.1679	0.7730	0.4011	0.9258	908.3600	1342.4324	0.9688	2.4098	0.6594	0.7519	4.0716	27.8620	0.0373	0.0304	0.2329	1.0685	
0.1562	0.7259	0.4201	0.9297	955.5800	1598.8130	1.2616	4.2886	0.6985	0.7157	4.3280	41.3728	0.0367	0.0304	0.1957	1.0522	
0.1892	0.8467	0.3703	0.9216	425.5800	900.2395	1.6329	5.8096	0.6806	0.7327	2.9179	14.4849	0.0371	0.0304	0.2156	1.0602	
0.2275	0.8455	0.3459	0.9147	757.2600	1442.1647	0.4026	1.9250	0.6854	0.7282	2.8745	14.0660	0.0372	0.0348	3.4752	56.0736	
0.2469	0.8424	0.3007	0.9158	1249.3600	1621.1671	0.4652	3.5398	0.6892	0.7246	2.7504	13.8141	0.0372	0.0333	2.3791	39.3577	
0.2563	0.7797	0.3108	0.9087	915.1400	1402.1427	0.8570	3.7531	0.7056	0.7086	2.8579	16.6427	0.0349	0.0305	0.0785	1.0197	
0.2549	0.8616	0.2816	0.9011	501.1000	980.4525	0.6203	1.7875	0.7100	0.7042	2.8584	14.0587	0.0367	0.0315	0.9299	17.7072	
0.3430	0.9126	0.1708	0.8767	476.3800	680.4305	0.4844	2.2460	0.7547	0.6561	2.1020	9.8425	0.0360	0.0321	1.6336	30.6388	
0.2967	0.9350	0.1392	0.8875	512.2800	557.8471	0.5236	2.5113	0.7680	0.6404	2.1853	12.1849	0.0401	0.0316	1.5988	34.1807	
0.3429	0.8679	0.5622	0.9167	148.4200	206.3572	1.4562	6.5255	0.6287	0.7777	3.3504	16.7377	0.0487	0.0298	0.1118	5.7868	
